"COUNTRY_OR_AREA","COMMODITY_TRANSACTION","YEAR","UNIT","QUANTITY_FOOTNOTES","QUANTITY"
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","23"
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","21"
"Albania","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","19"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","null","1566"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","1485"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","1472"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","1481"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","1272"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","1299"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","1302"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","1450"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","1597"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","1359"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","1372"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","1353"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","null","1397"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","null","1441"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","null","1398"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","null","1322"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","null","1337"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","null","1336"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","null","1408"
"Algeria","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","null","1494"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","1","2.59060001373291"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","null","2.59060001373291"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","null","2.70849990844727"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","null","2.61069989204407"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","null","2.84999990463257"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","null","2.91000008583069"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","null","2.92000007629395"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","null","3.25999999046326"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","null","3.28999996185303"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","null","3.01999998092651"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","null","3.34999990463257"
"Andorra","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","null","2.90000009536743"
