"Country_or_Area","Commodity_Transaction","Year","Unit","Quantity","Quantity_Footnotes"
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","828",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","819",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","802",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","947",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","884",
"Argentina","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","1057","1"
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","3.23",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","3.4",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","3.33",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","3.47",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","3.37",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","3.34",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","3.35",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","3.36",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","3.36",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","3.33",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","3.33",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","3.27",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","3.34",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","3.27",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","3.16",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","3.18",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","3.04",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","2.86",
"Aruba","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","2.86",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","238",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","235",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","222",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","226",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","226",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","253",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","205",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","229",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","226",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","230",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","217",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","213",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","210",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","207",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","204",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","200",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","197",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","192",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","183",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","180",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","172",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","169",
"Australia","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","165",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","29",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","38",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","42",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","39",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","52",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","52",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","39",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","40",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","34",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","34",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","39",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","43",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","51",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","43",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","39",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","36",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","31",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","26",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","22",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","22",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","19",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","19",
"Austria","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","16",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","37",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","43",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","54",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","57",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","84",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","80",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","67",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","64",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","65",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","55",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","30",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","29",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","25",
"Azerbaijan","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","27",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","9.072",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","9.782",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","8.1",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","7.05",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","12.5",
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","13","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","13","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","13","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","13","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","14","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","14","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","15","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","15","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","15","1"
"Bahamas","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","15","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","52",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","49",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","48",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","48",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","45",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","42",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","39",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","38",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","36",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","34",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","32",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","32",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","29",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","28",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","26",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","26",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","25",
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","24","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","24","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","23","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","23","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","22","1"
"Bahrain","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","20","1"
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","21",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","21",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2010","Metric tons,  thousand","17",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2009","Metric tons,  thousand","11",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2008","Metric tons,  thousand","15",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2007","Metric tons,  thousand","17",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2006","Metric tons,  thousand","13",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2005","Metric tons,  thousand","12",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2004","Metric tons,  thousand","16",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2003","Metric tons,  thousand","20",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2002","Metric tons,  thousand","21",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2001","Metric tons,  thousand","20",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","2000","Metric tons,  thousand","13",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1999","Metric tons,  thousand","10",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1998","Metric tons,  thousand","9",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1997","Metric tons,  thousand","15",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1996","Metric tons,  thousand","13",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1995","Metric tons,  thousand","15",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1994","Metric tons,  thousand","13",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1993","Metric tons,  thousand","9","1"
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1992","Metric tons,  thousand","8",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1991","Metric tons,  thousand","8",
"Bangladesh","Liquefied petroleum gas (LPG) - Consumption by households","1990","Metric tons,  thousand","9",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2012","Metric tons,  thousand","7.55",
"Barbados","Liquefied petroleum gas (LPG) - Consumption by households","2011","Metric tons,  thousand","6.76",
